id,title,salary,address,educational,workExperience,companyPeople,companyNature,companyTitle,type,avg_salary,salary_low,salary_high,salary_issue,is_outlier,city
41675,高级数据分析师,20K-30K,成都,本科,5-10年,少于50人,民营公司,昆仑智汇数据科技（北京）有限公司,数据分析,25.0,20.0,30.0,,False,成都
41674,数据分析师,15K-25K,深圳,本科,3-5年,5000-10000人,上市公司,深圳市睿服科技有限公司,数据分析,20.0,15.0,25.0,,False,深圳
41673,数据分析师,4K-8K,郑州,大专,1-3年,150-500人,民营公司,郑州红翊商贸有限公司,数据分析,6.0,4.0,8.0,,False,郑州
41672,数据分析师,7K-10K,成都,本科,1-3年,50-150人,上市公司,中天浩会计师事务所有限公司,数据分析,8.5,7.0,10.0,,False,成都
41671,数据分析师,15K-30K,广州,本科,1-3年,50-150人,国企,广发银行股份有限公司信用卡中心,数据分析,22.5,15.0,30.0,,False,广州
41670,数据分析师,20K-40K,北京,本科,3-5年,10000人以上,上市公司,北京必来屋网络科技有限公司,数据分析,30.0,20.0,40.0,,False,北京
41669,数据分析师,20K-40K,北京,本科,5-10年,150-500人,民营公司,北京三快在线科技有限公司,数据分析,30.0,20.0,40.0,,False,北京
41668,数据分析,12K-20K,苏州,本科,1-3年,5000-10000人,上市公司,苏州瑞翼信息技术有限公司,数据分析,16.0,12.0,20.0,,False,苏州
41667,资深数据分析师,20K-35K,北京,本科,5-10年,10000人以上,民营公司,北京创智优品科技有限公司,数据分析,27.5,20.0,35.0,,False,北京
41666,数据分析实习生,4K-5K,广州,本科,在校/应届,50-150人,国企,广州艾德旺斯珠宝科技有限公司,数据分析,4.5,4.0,5.0,,False,广州
41665,医药数据分析,1K-2K,南京,本科,在校/应届,50-150人,合资,正大天晴药业集团股份有限公司,数据分析,1.5,1.0,2.0,,False,南京
41664,数据分析实习生,1K-2K,深圳,本科,经验不限,1000-5000人,上市公司,深圳市前海房极客网络科技有限公司,数据分析,1.5,1.0,2.0,,False,深圳
41663,传播数据分析实习生,1K-2K,北京,本科,经验不限,50-150人,合资,中国科学院计算机网络信息中心,数据分析,1.5,1.0,2.0,,False,北京
41662,数据分析师,12K-24K,苏州,本科,1-3年,5000-10000人,国企,苏州瑞翼信息技术有限公司,数据分析,18.0,12.0,24.0,,False,苏州
41661,数据分析,15K-30K,北京,本科,3-5年,1000-5000人,民营公司,北京萌宝科技有限公司,数据分析,22.5,15.0,30.0,,False,北京
41660,高级数据分析师,20K-30K,成都,本科,5-10年,少于50人,民营公司,昆仑智汇数据科技（北京）有限公司,数据分析,25.0,20.0,30.0,,False,成都
41659,数据分析师,15K-25K,深圳,本科,3-5年,50-150人,上市公司,深圳市睿服科技有限公司,数据分析,20.0,15.0,25.0,,False,深圳
41658,数据分析师,4K-8K,郑州,大专,1-3年,150-500人,民营公司,郑州红翊商贸有限公司,数据分析,6.0,4.0,8.0,,False,郑州
41657,数据分析师,7K-10K,成都,本科,1-3年,10000人以上,民营公司,中天浩会计师事务所有限公司,数据分析,8.5,7.0,10.0,,False,成都
